TIME_TO_INTERVAL,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(IBM),Radiation(SDv3)(OWM),Radiation(MSM),WeatherType(CWB),WeatherType(pred)(CWB),WeatherType(IBM),WeatherType(pred)(IBM),WeatherType(OWM),WeatherType(pred)(OWM),ApparentTemperature(pred)[CWB],Temperature(pred)[CWB],RelativeHumidity(pred)[CWB],FeelsLikeTemperature(pred)[IBM],Temperature(pred)[IBM],RelativeHumidity(pred)[IBM],FeelsLikeTemperature(pred)[OWM],Temperature(pred)[OWM],RelativeHumidity(pred)[OWM]
2021-05-10 06:00:00,1.1788222222222182,0.14722222222222225,0.15029418,0.10224966795542832,0.10766592197767057,0.09420275133075334,0.18531,多雲,多雲,局部多雲,局部多雲,晴,晴,28,25,82,25,25,90,25.94,25.320000000000054,78
2021-05-10 07:00:00,3.0964000000000107,0.3694444444444445,0.377175755,0.2526052964836956,0.2644084159626839,0.22083088849301746,0.41593,多雲,多雲,局部多雲,局部多雲,晴,晴,28,25,82,24,24,91,25.94,25.320000000000054,78
2021-05-10 08:00:00,3.9833305555555336,0.4166666666666666,0.5936822420000001,0.4322406046373257,0.5815555817179041,0.4276065267936816,0.6341899999999999,多雲,多雲,局部多雲,局部多雲,晴,晴,28,25,82,30,27,80,25.94,25.320000000000054,78
2021-05-10 09:00:00,6.054656792936505,0.7333333333333334,0.77256527,0.5634266028025009,0.6888286158166742,0.5980586110289619,0.8195,多雲,多雲,局部多雲,局部多雲,晴,晴,31,28,70,35,31,61,29.580000000000037,27.73000000000001,65
2021-05-10 10:00:00,6.245591666666675,0.9611111111111108,0.8985695109999999,0.5974884786124002,0.7557590312692274,0.6286253551577373,0.9389299999999999,多雲,多雲,局部多雲,局部多雲,晴,晴,31,28,70,32,29,70,29.580000000000037,27.73000000000001,65
2021-05-10 11:00:00,6.075580808080808,0.7722222222222221,0.962038907,0.5505218762982685,0.699999887351358,0.5926497481692619,1.01717,多雲,多雲,局部多雲,局部多雲,晴,晴,31,28,70,36,32,55,29.580000000000037,27.73000000000001,65
2021-05-10 12:00:00,4.8672750000000535,0.6194444444444445,0.958291141,0.4337257393279226,0.8432138511298539,0.6677189460718833,1.00482,多雲,多雲,局部多雲,局部多雲,晴,晴,34,32,66,38,33,51,33.36000000000001,31.19,52
2021-05-10 13:00:00,5.443408333333336,0.8055555555555555,0.887614496,0.5419002778501436,0.8557579211564269,0.7212475025965913,0.7165499999999999,多雲,多雲,局部多雲,局部多雲,晴,晴,34,32,66,38,33,52,33.36000000000001,31.19,52
2021-05-10 14:00:00,5.0180222222222195,0.5972222222222222,0.755264705,0.5535757857731826,0.6716301646357984,0.6210354308375344,0.40357,多雲,多雲,局部多雲,局部多雲,晴,晴,34,32,66,38,34,51,33.36000000000001,31.19,52
2021-05-10 15:00:00,4.263192329385212,0.4944444444444445,0.571477456,0.5767741342827158,0.5495321708299746,0.5010697241011928,0.52712,晴,晴,局部多雲,局部多雲,晴,晴,36,32,69,36,32,57,33.960000000000036,31.780000000000033,50
